num_features,num_subset_solvers,subset_size,subset_solver_depth,rounded,train_diff_pc,train_diff_ps,train_res_pc,train_res_cc,train_res_sc,train_epsilon,valid_diff_pc,valid_diff_ps,valid_res_pc,valid_res_cc,valid_res_sc,valid_epsilon,model_size_mb
64,2,3,2,False,0.0015420999999999998,0.0025022,0.011989999999999999,1.8e-05,0.0467001,0.004048999999999999,0.0016178999999999998,0.0024700000000000004,0.0127398,1.8e-05,0.047431600000000004,0.004104999999999999,0.04
64,2,3,3,False,0.0016368999999999997,0.0024125,0.0125365,1.8200000000000002e-05,0.046687099999999995,0.004048999999999999,0.0017163,0.0023702000000000003,0.013274900000000001,1.8e-05,0.0474446,0.004104999999999999,0.05
64,2,3,4,False,0.0014757,0.0025834000000000005,0.011706,1.8200000000000002e-05,0.0467055,0.004049099999999998,0.0015444,0.0025408,0.0123875,1.8e-05,0.0474503,0.004104999999999999,0.05
64,2,4,1,False,0.0020875000000000004,0.0019559000000000004,0.013636699999999998,1.8400000000000003e-05,0.0466967,0.004048999999999999,0.0021625,0.0019604,0.014441299999999999,1.8e-05,0.0474447,0.004104999999999999,0.04
64,2,4,2,False,0.0015318999999999999,0.0025101000000000004,0.011641599999999998,1.81e-05,0.0466935,0.004049099999999998,0.0015847,0.0025079000000000004,0.012312,1.8300000000000004e-05,0.047466999999999995,0.004104999999999999,0.05
64,2,4,3,False,0.0014645999999999997,0.0025876999999999996,0.0114305,1.81e-05,0.0466956,0.004049099999999998,0.0015535,0.0026311,0.0123721,1.8e-05,0.04747649999999999,0.004104999999999999,0.05
64,2,4,4,False,0.0014739,0.0025878,0.0116919,1.8200000000000002e-05,0.0467013,0.004049099999999998,0.0015301,0.0026133000000000003,0.0123381,1.8e-05,0.0474489,0.004104999999999999,0.06
64,2,5,1,False,0.0017218000000000001,0.0023149,0.012268500000000002,1.81e-05,0.0467068,0.004048999999999999,0.0017805999999999998,0.0023484,0.012884200000000002,1.8e-05,0.0474773,0.004104999999999999,0.05
64,2,5,2,False,0.001878,0.0021841,0.012817400000000001,1.81e-05,0.0467086,0.004048999999999999,0.0019390999999999998,0.0022007,0.013398299999999998,1.8e-05,0.047423,0.004104999999999999,0.05
64,2,5,3,False,0.0015449,0.0025084999999999994,0.011924,1.8e-05,0.046699500000000005,0.004049099999999998,0.0016209000000000002,0.0025635000000000002,0.0125944,1.8e-05,0.047451900000000005,0.004104999999999999,0.06
