max_diff,l1_error,l1_norm
0.02758481,0.007939799,0.03138878
0.025937067,0.0063333292,0.01382848
0.042007796,0.0066924947,0.024859801
0.035216067,0.0063362485,0.02499363
0.015603181,0.005739564,0.017355217
0.023708578,0.0072008353,0.019345824
0.053557713,0.009231791,0.013187473
0.025907204,0.0068100174,0.011541443
0.04894845,0.007662807,0.024289738
0.035589658,0.0073380033,0.02962559
0.0411532,0.009339287,0.01519162
0.02176936,0.006671021,0.02614371
0.02888639,0.009576814,0.034761142
0.042422332,0.008078947,0.035161532
0.042661443,0.009563716,0.035191838
0.041995287,0.0084571205,0.015355729
0.044080634,0.009933376,0.027494205
0.025404423,0.008599769,0.015896644
0.030434012,0.0068637272,0.032590106
0.037077907,0.009185591,0.023673574
0.043715544,0.009614843,0.040558465
0.04460232,0.0065193027,0.017675623
0.03671319,0.0077403993,0.031323012
0.068387434,0.009004997,0.028989937
0.025182769,0.0061126584,0.010492762
0.025135538,0.0062069115,0.030863397
0.04010675,0.007240021,0.034856882
0.0548273,0.00986246,0.0139787905
0.020630412,0.007906753,0.032733347
0.040862627,0.0071579344,0.019507376
0.061098423,0.008670153,0.034702495
0.014751915,0.005750769,0.026254356
0.031072337,0.0072063813,0.03940418
0.018194657,0.0071220463,0.016081123
0.03686201,0.008245893,0.03679493
0.04481172,0.008890493,0.036097642
0.04941088,0.008294473,0.019782146
0.040476628,0.009655274,0.026191244
0.05121573,0.009928322,0.018864378
0.028649636,0.007408855,0.02816036
0.041317943,0.008145471,0.024289452
0.044700574,0.008120571,0.02452165
0.044755943,0.00953743,0.021767484
0.02287142,0.0054874527,0.017733634
0.036473982,0.0076783043,0.035211
0.024850197,0.0069834283,0.0177618
0.023149047,0.0075076125,0.014194302
0.06628033,0.0074444264,0.030202644
0.03272241,0.0059831906,0.022927713
0.03485558,0.010891936,0.032982025
0.059425414,0.011339616,0.027729543
0.026318856,0.005804756,0.021850025
0.047738183,0.00822501,0.025957776
0.084076636,0.0108218035,0.045198336
0.028220348,0.007250356,0.028164545
0.05212444,0.00898156,0.023174994
0.03516444,0.0086414525,0.03925825
0.040922273,0.0070241787,0.029707722
0.026722461,0.008977362,0.053818513
0.022038352,0.005615029,0.051328447
0.0370877,0.007468794,0.021233408
0.051281285,0.007530043,0.030714832
0.03604428,0.00909639,0.03997865
0.046093248,0.0070639276,0.044531558
0.031655326,0.008525117,0.033639017
0.02255195,0.0050546704,0.03129453
0.044033974,0.007161393,0.026113104
0.06791267,0.00931879,0.02985506
0.02227559,0.0071304897,0.040152878
0.029251039,0.0059505263,0.019478606
0.03267895,0.009923882,0.027438369
0.032488912,0.010361541,0.04235095
0.025385346,0.0066793794,0.0327827
0.028967328,0.006805089,0.02073599
0.026237495,0.007101337,0.044100467
0.0386407,0.009033518,0.019435199
0.08610556,0.013036705,0.023665933
0.022007445,0.005856369,0.03268495
0.03624917,0.006334933,0.021217534
0.026489265,0.007047108,0.024660882
0.034878634,0.0063868575,0.03794413
0.03766522,0.0072805616,0.017780976
0.07121813,0.008885184,0.023646824
0.023039397,0.006487884,0.01781111
0.024496183,0.0046854764,0.019055184
0.017502517,0.0060007907,0.025112104
0.036526144,0.011656112,0.0207655
0.025665864,0.0076148827,0.020520449
0.023844317,0.0064658443,0.014021125
0.06455708,0.009638393,0.029178644
0.04541396,0.008851149,0.012030654
0.02201245,0.0067831427,0.024571316
0.037274126,0.009236451,0.025497831
0.040940173,0.008957229,0.024971254
0.027853087,0.0064341165,0.042232696
0.032434165,0.005918407,0.03483748
0.027210984,0.0075736064,0.025090102
0.04368104,0.006901454,0.04307697
0.043510627,0.008410688,0.014771371
0.01954775,0.0055346964,0.019382821
0.05314943,0.009481536,0.035253804
0.03991222,0.005232628,0.03862342
0.03335468,0.008406586,0.03371473
0.039180882,0.008279337,0.014221306
0.03046377,0.009143311,0.034299146
0.052134212,0.011869656,0.022129443
0.024677606,0.007695166,0.021724084
0.04367768,0.006536541,0.025307335
0.02789352,0.006950985,0.018866612
0.04344257,0.0072029717,0.023192568
0.01844623,0.006621262,0.02866756
0.03046208,0.008899273,0.036194224
0.044627495,0.007892091,0.021147752
0.037803292,0.008867336,0.020222088
0.05792612,0.008846088,0.035264026
0.03231734,0.00762184,0.01587377
0.04539776,0.009634878,0.040039442
0.060361747,0.007490179,0.00881757
0.023980241,0.0068969717,0.01774217
0.042533927,0.00995131,0.037967507
0.033366017,0.007691284,0.020729482
0.034248177,0.0067685554,0.03651808
0.017176159,0.0067247995,0.035637144
0.07615,0.011132093,0.032759093
0.028534796,0.008434183,0.035387855
0.021411236,0.0075968886,0.04285541
0.05387292,0.008946139,0.03167195
0.029685631,0.0068981955,0.032693002
0.038115177,0.0072320728,0.02472013
0.032130234,0.0066578784,0.020130243
0.020522565,0.005144875,0.0326137
0.039144654,0.006017705,0.027833775
0.06374423,0.009922201,0.016939154
0.022077054,0.0041466807,0.025366561
0.049919277,0.0067513864,0.017052652
0.054278765,0.009265249,0.01173892
0.021679044,0.006866617,0.028001586
0.04786949,0.012319435,0.024693217
0.02862715,0.0064176535,0.026324082
0.016212372,0.005433125,0.02680583
